Date,Sport,Event,Time,Additional details,Location,Closest Metro,LEFT,Start time,RIGHT,End time
August 6,Athletics,Hammer throw final - women's,1955,,Stade de France,Stade de France - Saint-Denis (RER D),1955,19:55,1955,19:55
August 6,Athletics,400m hurdles semifinals - women's,2007,,Stade de France,Stade de France - Saint-Denis (RER D),2007,20:07,2007,20:07
August 6,Athletics,Long jump final - men's,2015,,Stade de France,Stade de France - Saint-Denis (RER D),2015,20:15,2015,20:15
August 6,Athletics,1500m final - men's,2050,,Stade de France,Stade de France - Saint-Denis (RER D),2050,20:50,2050,20:50
August 6,Athletics,W 3000m steeplechase final,2110,,Stade de France,Stade de France - Saint-Denis (RER D),2110,21:10,2110,21:10
August 6,Athletics,200m final - women's,2140,,Stade de France,Stade de France - Saint-Denis (RER D),2140,21:40,2140,21:40
August 6,Diving,3m springboard preliminary - men's,1000-1200,,Stade Aquatique,Stade de France - Saint-Denis (RER D),1000,10:00,1200,12:00
August 6,Diving,10m platform final - women's,1500-1700,,Stade Aquatique,Stade de France - Saint-Denis (RER D),1500,15:00,1700,17:00
August 6,Water polo,Quarters (2 matches) - women's,1400-1700,,Stade Aquatique,Stade de France - Saint-Denis (RER D),1400,14:00,1700,17:00
August 6,Water polo,Quarters (2 matches) - women's,1900-2200,,Stade Aquatique,Stade de France - Saint-Denis (RER D),1900,19:00,2200,22:00
August 6,Boxing,"W 50kg, W 66kg, M 71kg semis, W 60kg final",2130-2330,,Roland-Garros Stadium,Porte d'Auteuil (Metro 10),2130,21:30,2330,23:30
August 6,Track cycling,"M team sprint first round, medal finals, M team pursuit first round, W team pursuit qualifying",1730-2030,,Roland-Garros Stadium,Porte d'Auteuil (Metro 10),1730,17:30,2030,20:30
August 6,Table tennis,M/W team round of 16,1000-1300,,Porte de Versailles Exhibition Centre,Porte de Versailles (Metro 12),1000,10:00,1300,13:00
August 6,Table tennis,M/W team quarters,1500-1800,,Porte de Versailles Exhibition Centre,Porte de Versailles (Metro 12),1500,15:00,1800,18:00
August 6,Table tennis,M/W team quarters,2000-2300,,Porte de Versailles Exhibition Centre,Porte de Versailles (Metro 12),2000,20:00,2300,23:00
August 6,Sport climbing,"W boulder/lead semis (boulder), M speed qualification",1000-1400,,Place de la Concorde,Palais Royal-Musée du Louvre (Metro 1/7) closed 3-4 August. Second best: Auber (RER),1000,10:00,1400,14:00
August 6,Football,Semifinals - women's,1800-2100,,Multiple locations - check official documentation,,1800,18:00,2100,21:00
August 6,Football,Semifinals - women's,2100-0000,,Multiple locations - check official documentation,,2100,21:00,0000,00:00
August 6,Sailing,"M/W dinghy medal races, M/W Kite, Mixed dinghy, Mixed multihull",1200-1900,,Marseille Marina,Vieux-Port - Hôtel de Ville (Metro 1),1200,12:00,1900,19:00
August 6,Skateboard,Park preliminaries - women's,1230-1600,,La Courneuve Shooting Range,La Courneuve (Metro 13),1230,12:30,1600,16:00
August 6,Skateboard,Park medal final - women's,1730-1900,,La Courneuve Shooting Range,La Courneuve (Metro 13),1730,17:30,1900,19:00
August 6,Volleyball,Quarters (2 matches) - women's,0900-1130,,Hall 6 Exhibition Centre Paris-Le Bourget,Le Bourget (RER B),0900,09:00,1130,11:30
August 6,Volleyball,Quarters (2 matches) - women's,1300-1530,,Hall 6 Exhibition Centre Paris-Le Bourget,Le Bourget (RER B),1300,13:00,1530,15:30
August 6,Volleyball,Quarters (2 matches) - women's,1700-1930,,Hall 6 Exhibition Centre Paris-Le Bourget,Le Bourget (RER B),1700,17:00,1930,19:30
August 6,Volleyball,Quarters (2 matches) - women's,2100-2330,,Hall 6 Exhibition Centre Paris-Le Bourget,Le Bourget (RER B),2100,21:00,2330,23:30
August 6,Beach volleyball,M/W quarters (2 matches),1700-1900,,Eiffel Tower Beach Volleyball Stadium,Bir-Hakeim (Metro 6),1700,17:00,1900,19:00
August 6,Beach volleyball,M/W quarters (2 matches),2100-2300,,Eiffel Tower Beach Volleyball Stadium,Bir-Hakeim (Metro 6),2100,21:00,2300,23:00
August 6,Equestrian,Jumping ind. final,1000-1230,,Château de Versailles,Versailles Château - Rive Gauche (RER C),1000,10:00,1230,12:30
August 6,Artistic swimming,Team free routine,1930-2100,,Bercy Arena,Bercy (Metro 6),1930,19:30,2100,21:00
August 6,Basketball,M quarters,1100-1300,,Bercy Arena,Bercy (Metro 6),1100,11:00,1300,13:00
August 6,Basketball,M quarters,1430-1630,,Bercy Arena,Bercy (Metro 6),1430,14:30,1630,16:30
August 6,Basketball,M quarters,1800-2000,,Bercy Arena,Bercy (Metro 6),1800,18:00,2000,20:00
August 6,Basketball,M quarters,2130-2330,,Bercy Arena,Bercy (Metro 6),2130,21:30,2330,23:30
August 7,Canoe sprint,"M C1 1000m, M K2 500m, W C1 200m, W K2 500m heats and quarters",0930-1510,,Vaires-sur-Marne Nautical Stadium,Vaires (Transilien Paris-Est),0930,09:30,1510,15:10
August 7,Wrestling,"M Greco-Roman 77kg, M Greco-Roman 97kg, W freestyle 50kg repechage, M Greco-Roman 67kg, M Greco-Roman 87kg, W freestyle 53kg round of 16 and quarters",1100-1330,,Two locations – check official documentation,,1100,11:00,1330,13:30
August 7,Wrestling,"M Greco-Roman 67kg, M Greco-Roman 87kg, W freestyle 53kg semis, M Greco-Roman 77kg, M Greco-Roman 97kg, W freestyle 50kg medal finals",1815-2145,,Two locations – check official documentation,,1815,18:15,2145,21:45
August 7,Hockey,Semifinals - women's,1400-1600,,Stade Roland Garros (Court Suzanne Lenglen),Porte d'Auteuil (Metro 10),1400,14:00,1600,16:00
August 7,Hockey,Semifinals - women's,1900-2100,,Stade Roland Garros (Court Suzanne Lenglen),Porte d'Auteuil (Metro 10),1900,19:00,2100,21:00
August 7,Handball,M quarters,0930-1130,,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),0930,09:30,1130,11:30
August 7,Handball,M quarters,1330-1530,,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),1330,13:30,1530,15:30
August 7,Handball,M quarters,1730-1930,,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),1730,17:30,1930,19:30
August 7,Handball,M quarters,2130-2330,,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),2130,21:30,2330,23:30
August 7,Athletics,Marathon race walk mixed relay final,0730-1050,,Stade de France,Stade de France - Saint-Denis (RER D),0730,07:30,1050,10:50
August 7,Athletics,High jump qualification - men's,1005,,Stade de France,Stade de France - Saint-Denis (RER D),1005,10:05,1005,10:05
August 7,Athletics,100m hurdles round 1 - women's,1015,,Stade de France,Stade de France - Saint-Denis (RER D),1015,10:15,1015,10:15
August 7,Athletics,Javelin throw qualification A - women's,1025,,Stade de France,Stade de France - Saint-Denis (RER D),1025,10:25,1025,10:25
August 7,Athletics,5000m round 1 - men's,1100,,Stade de France,Stade de France - Saint-Denis (RER D),1100,11:00,1100,11:00
August 7,Athletics,800m round 1 - men's,1145,,Stade de France,Stade de France - Saint-Denis (RER D),1145,11:45,1145,11:45
August 7,Athletics,Javelin throw qualification B - women's,1150,,Stade de France,Stade de France - Saint-Denis (RER D),1150,11:50,1150,11:50
